12:08:12 [LoginInfo] Error account not exist (Account: admin, Password: admin, IpAddress: 192.168.1.105)
12:10:10 [AccountInfo] Account connected (Account: admin, IpAddress: 192.168.1.105, GameServerCode: 0)
12:10:37 [AccountInfo] Account disconnected (Account: admin, IpAddress: 192.168.1.105, GameServerCode: 0)
12:34:19 [AccountInfo] Account connected (Account: admin, IpAddress: 192.168.1.105, GameServerCode: 0)
12:34:30 [AccountInfo] Account disconnected (Account: admin, IpAddress: 192.168.1.105, GameServerCode: 0)
12:36:04 [AccountInfo] Account connected (Account: admin, IpAddress: 192.168.1.105, GameServerCode: 0)
12:39:13 [AccountInfo] Account disconnected (Account: admin, IpAddress: 192.168.1.105, GameServerCode: 0)
12:43:09 [AccountInfo] Account connected (Account: admin, IpAddress: 192.168.1.105, GameServerCode: 0)
12:46:26 [AccountInfo] Account connected (Account: test, IpAddress: 192.168.1.105, GameServerCode: 0)
12:48:03 [AccountInfo] Account disconnected (Account: admin, IpAddress: 192.168.1.105, GameServerCode: 0)
12:48:26 [AccountInfo] Account disconnected (Account: test, IpAddress: 192.168.1.105, GameServerCode: 0)
12:49:17 [AccountInfo] Account connected (Account: admin, IpAddress: 192.168.1.105, GameServerCode: 0)
12:49:37 [AccountInfo] Account connected (Account: test, IpAddress: 192.168.1.105, GameServerCode: 0)
12:50:09 [AccountInfo] Account disconnected (Account: test, IpAddress: 192.168.1.105, GameServerCode: 0)
12:50:13 [AccountInfo] Account disconnected (Account: admin, IpAddress: 192.168.1.105, GameServerCode: 0)
12:51:58 [AccountInfo] Account connected (Account: admin, IpAddress: 192.168.1.105, GameServerCode: 0)
12:53:03 [AccountInfo] Account connected (Account: test, IpAddress: 192.168.1.105, GameServerCode: 0)
12:54:48 [AccountInfo] Account disconnected (Account: admin, IpAddress: 192.168.1.105, GameServerCode: 0)
12:55:04 [AccountInfo] Account connected (Account: admin, IpAddress: 192.168.1.105, GameServerCode: 0)
12:55:32 [AccountInfo] Account disconnected (Account: admin, IpAddress: 192.168.1.105, GameServerCode: 0)
12:55:50 [AccountInfo] Account connected (Account: admin, IpAddress: 192.168.1.105, GameServerCode: 0)
12:56:59 [AccountInfo] Account disconnected (Account: admin, IpAddress: 192.168.1.105, GameServerCode: 0)
12:57:13 [AccountInfo] Account connected (Account: admin, IpAddress: 192.168.1.105, GameServerCode: 0)
12:57:50 [AccountInfo] Account disconnected (Account: admin, IpAddress: 192.168.1.105, GameServerCode: 0)
12:57:53 [AccountInfo] Account disconnected (Account: test, IpAddress: 192.168.1.105, GameServerCode: 0)
12:59:42 [AccountInfo] Account connected (Account: test, IpAddress: 192.168.1.105, GameServerCode: 0)
12:59:56 [AccountInfo] Account connected (Account: admin, IpAddress: 192.168.1.105, GameServerCode: 0)
13:01:31 [AccountInfo] Account disconnected (Account: admin, IpAddress: 192.168.1.105, GameServerCode: 0)
13:01:34 [AccountInfo] Account disconnected (Account: test, IpAddress: 192.168.1.105, GameServerCode: 0)
13:02:08 [AccountInfo] Account connected (Account: test, IpAddress: 192.168.1.105, GameServerCode: 0)
13:02:20 [AccountInfo] Account connected (Account: admin, IpAddress: 192.168.1.105, GameServerCode: 0)
13:02:53 [AccountInfo] Account disconnected (Account: admin, IpAddress: 192.168.1.105, GameServerCode: 0)
13:04:00 [AccountInfo] Account connected (Account: admin, IpAddress: 192.168.1.105, GameServerCode: 0)
13:04:28 [AccountInfo] Account disconnected (Account: admin, IpAddress: 192.168.1.105, GameServerCode: 0)
13:04:31 [AccountInfo] Account disconnected (Account: test, IpAddress: 192.168.1.105, GameServerCode: 0)
13:06:48 [AccountInfo] Account connected (Account: admin, IpAddress: 192.168.1.105, GameServerCode: 0)
13:07:28 [AccountInfo] Account disconnected (Account: admin, IpAddress: 192.168.1.105, GameServerCode: 0)
13:10:51 [AccountInfo] Account connected (Account: admin, IpAddress: 192.168.1.105, GameServerCode: 0)
13:11:32 [AccountInfo] Account disconnected (Account: admin, IpAddress: 192.168.1.105, GameServerCode: 0)
13:12:35 [AccountInfo] Account connected (Account: test, IpAddress: 192.168.1.105, GameServerCode: 0)
13:12:54 [AccountInfo] Account connected (Account: admin, IpAddress: 192.168.1.105, GameServerCode: 0)
13:13:38 [AccountInfo] Account disconnected (Account: test, IpAddress: 192.168.1.105, GameServerCode: 0)
13:14:03 [AccountInfo] Account disconnected (Account: admin, IpAddress: 192.168.1.105, GameServerCode: 0)
13:14:27 [AccountInfo] Account connected (Account: admin, IpAddress: 192.168.1.105, GameServerCode: 0)
13:14:55 [AccountInfo] Account connected (Account: test, IpAddress: 192.168.1.105, GameServerCode: 0)
13:15:26 [AccountInfo] Account disconnected (Account: admin, IpAddress: 192.168.1.105, GameServerCode: 0)
13:23:09 [AccountInfo] Account disconnected (Account: test, IpAddress: 192.168.1.105, GameServerCode: 0)
13:23:23 [AccountInfo] Account connected (Account: test, IpAddress: 192.168.1.105, GameServerCode: 0)
13:23:37 [AccountInfo] Account connected (Account: admin, IpAddress: 192.168.1.105, GameServerCode: 0)
13:24:24 [AccountInfo] Account disconnected (Account: admin, IpAddress: 192.168.1.105, GameServerCode: 0)
13:24:27 [AccountInfo] Account disconnected (Account: test, IpAddress: 192.168.1.105, GameServerCode: 0)
13:30:10 [AccountInfo] Account connected (Account: admin, IpAddress: 192.168.1.105, GameServerCode: 0)
13:36:01 [AccountInfo] Account connected (Account: test, IpAddress: 192.168.1.105, GameServerCode: 0)
13:36:36 [AccountInfo] Account disconnected (Account: admin, IpAddress: 192.168.1.105, GameServerCode: 0)
13:36:43 [AccountInfo] Account disconnected (Account: test, IpAddress: 192.168.1.105, GameServerCode: 0)
13:38:36 [AccountInfo] Account connected (Account: admin, IpAddress: 192.168.1.105, GameServerCode: 0)
13:38:50 [AccountInfo] Account connected (Account: test, IpAddress: 192.168.1.105, GameServerCode: 0)
13:38:59 [AccountInfo] Account disconnected (Account: admin, IpAddress: 192.168.1.105, GameServerCode: 0)
13:39:22 [AccountInfo] Account disconnected (Account: test, IpAddress: 192.168.1.105, GameServerCode: 0)
13:40:17 [AccountInfo] Account connected (Account: admin, IpAddress: 192.168.1.105, GameServerCode: 0)
13:40:34 [AccountInfo] Account connected (Account: test, IpAddress: 192.168.1.105, GameServerCode: 0)
13:41:05 [AccountInfo] Account disconnected (Account: admin, IpAddress: 192.168.1.105, GameServerCode: 0)
13:41:25 [AccountInfo] Account disconnected (Account: test, IpAddress: 192.168.1.105, GameServerCode: 0)
13:43:11 [AccountInfo] Account connected (Account: test, IpAddress: 192.168.1.105, GameServerCode: 0)
13:43:28 [AccountInfo] Account connected (Account: admin, IpAddress: 192.168.1.105, GameServerCode: 0)
13:44:43 [AccountInfo] Account disconnected (Account: test, IpAddress: 192.168.1.105, GameServerCode: 0)
13:44:46 [AccountInfo] Account disconnected (Account: admin, IpAddress: 192.168.1.105, GameServerCode: 0)
13:45:17 [AccountInfo] Account connected (Account: test, IpAddress: 192.168.1.105, GameServerCode: 0)
13:45:34 [AccountInfo] Account connected (Account: admin, IpAddress: 192.168.1.105, GameServerCode: 0)
13:46:25 [AccountInfo] Account disconnected (Account: test, IpAddress: 192.168.1.105, GameServerCode: 0)
13:46:34 [AccountInfo] Account disconnected (Account: admin, IpAddress: 192.168.1.105, GameServerCode: 0)
13:48:58 [AccountInfo] Account connected (Account: test, IpAddress: 192.168.1.105, GameServerCode: 0)
13:49:07 [AccountInfo] Account connected (Account: admin, IpAddress: 192.168.1.105, GameServerCode: 0)
13:49:50 [AccountInfo] Account disconnected (Account: admin, IpAddress: 192.168.1.105, GameServerCode: 0)
13:49:53 [AccountInfo] Account disconnected (Account: test, IpAddress: 192.168.1.105, GameServerCode: 0)
13:51:50 [AccountInfo] Account connected (Account: test, IpAddress: 192.168.1.105, GameServerCode: 0)
13:52:06 [AccountInfo] Account connected (Account: admin, IpAddress: 192.168.1.105, GameServerCode: 0)
13:52:15 [AccountInfo] Account disconnected (Account: test, IpAddress: 192.168.1.105, GameServerCode: 0)
13:52:22 [AccountInfo] Account disconnected (Account: admin, IpAddress: 192.168.1.105, GameServerCode: 0)
13:53:20 [AccountInfo] Account connected (Account: test, IpAddress: 192.168.1.105, GameServerCode: 0)
13:53:32 [AccountInfo] Account connected (Account: admin, IpAddress: 192.168.1.105, GameServerCode: 0)
13:53:41 [AccountInfo] Account disconnected (Account: admin, IpAddress: 192.168.1.105, GameServerCode: 0)
13:53:43 [AccountInfo] Account disconnected (Account: test, IpAddress: 192.168.1.105, GameServerCode: 0)
14:03:51 [AccountInfo] Account connected (Account: test, IpAddress: 192.168.1.105, GameServerCode: 0)
14:04:10 [AccountInfo] Account connected (Account: admin, IpAddress: 192.168.1.105, GameServerCode: 0)
14:04:47 [AccountInfo] Account disconnected (Account: admin, IpAddress: 192.168.1.105, GameServerCode: 0)
14:04:50 [AccountInfo] Account disconnected (Account: test, IpAddress: 192.168.1.105, GameServerCode: 0)
14:06:57 [AccountInfo] Account connected (Account: test, IpAddress: 192.168.1.105, GameServerCode: 0)
14:07:22 [AccountInfo] Account connected (Account: admin, IpAddress: 192.168.1.105, GameServerCode: 0)
14:08:33 [AccountInfo] Account disconnected (Account: admin, IpAddress: 192.168.1.105, GameServerCode: 0)
14:08:35 [AccountInfo] Account disconnected (Account: test, IpAddress: 192.168.1.105, GameServerCode: 0)
14:11:54 [AccountInfo] Account connected (Account: test, IpAddress: 192.168.1.105, GameServerCode: 0)
14:12:09 [AccountInfo] Account connected (Account: admin, IpAddress: 192.168.1.105, GameServerCode: 0)
14:16:17 [AccountInfo] Account disconnected (Account: admin, IpAddress: 192.168.1.105, GameServerCode: 0)
14:16:24 [AccountInfo] Account disconnected (Account: test, IpAddress: 192.168.1.105, GameServerCode: 0)
14:17:38 [AccountInfo] Account connected (Account: test, IpAddress: 192.168.1.105, GameServerCode: 0)
14:17:57 [AccountInfo] Account disconnected (Account: test, IpAddress: 192.168.1.105, GameServerCode: 0)
14:21:45 [AccountInfo] Account connected (Account: test, IpAddress: 192.168.1.105, GameServerCode: 0)
14:22:04 [AccountInfo] Account disconnected (Account: test, IpAddress: 192.168.1.105, GameServerCode: 0)
14:23:09 [AccountInfo] Account connected (Account: test, IpAddress: 192.168.1.105, GameServerCode: 0)
14:23:25 [AccountInfo] Account connected (Account: admin, IpAddress: 192.168.1.105, GameServerCode: 0)
14:23:52 [AccountInfo] Account disconnected (Account: admin, IpAddress: 192.168.1.105, GameServerCode: 0)
14:23:55 [AccountInfo] Account disconnected (Account: test, IpAddress: 192.168.1.105, GameServerCode: 0)
14:27:58 [AccountInfo] Account connected (Account: test, IpAddress: 192.168.1.105, GameServerCode: 0)
14:28:16 [AccountInfo] Account connected (Account: admin, IpAddress: 192.168.1.105, GameServerCode: 0)
14:29:39 [AccountInfo] Account disconnected (Account: admin, IpAddress: 192.168.1.105, GameServerCode: 0)
14:29:45 [AccountInfo] Account disconnected (Account: test, IpAddress: 192.168.1.105, GameServerCode: 0)
14:30:59 [AccountInfo] Account connected (Account: test, IpAddress: 192.168.1.105, GameServerCode: 0)
14:31:11 [AccountInfo] Account connected (Account: admin, IpAddress: 192.168.1.105, GameServerCode: 0)
14:31:19 [AccountInfo] Account disconnected (Account: admin, IpAddress: 192.168.1.105, GameServerCode: 0)
14:31:21 [AccountInfo] Account disconnected (Account: test, IpAddress: 192.168.1.105, GameServerCode: 0)
14:32:57 [AccountInfo] Account connected (Account: test, IpAddress: 192.168.1.105, GameServerCode: 0)
14:33:13 [AccountInfo] Account connected (Account: admin, IpAddress: 192.168.1.105, GameServerCode: 0)
14:33:47 [AccountInfo] Account disconnected (Account: test, IpAddress: 192.168.1.105, GameServerCode: 0)
